属性	星级	编号	总编号	重点	宝可梦
龙	5	1	444	706-1|950-0|951-0	706-1+56+58+1+65+67+20|705-1+55+57+1+64+66+80|950-0+54+56+1+63+65+80|949-0+52+54+1+61+63+80|951-0+57+59+1+66+68+20|950-0+54+56+1+63+65+80
恶	1	1	445	972-0|551-0|302-0	972-0+17+19+1+26+28+100|551-0+16+18+1+25+27+100|302-0+22+24+1+31+33+100
恶	1	2	446	972-0|228-0|559-0	972-0+17+19+1+26+28+100|228-0+15+17+1+24+26+100|559-0+20+22+1+29+31+100
恶	1	3	447	052-1|551-0|559-0	052-1+17+19+1+26+28+100|551-0+16+18+1+25+27+100|559-0+20+22+1+29+31+100
恶	1	4	448	052-1|228-0|302-0	052-1+17+19+1+26+28+100|228-0+15+17+1+24+26+100|302-0+22+24+1+31+33+100
恶	1	5	449	509-0|559-0|302-0	509-0+14+16+1+23+25+100|559-0+20+22+1+29+31+100|302-0+22+24+1+31+33+100
恶	1	6	450	509-0|559-0|228-0	509-0+14+16+1+23+25+100|559-0+20+22+1+29+31+100|228-0+15+17+1+24+26+100
恶	1	7	451	509-0|302-0|551-0	509-0+14+16+1+23+25+100|302-0+22+24+1+31+33+100|551-0+16+18+1+25+27+100
恶	1	8	452	827-0|302-0|551-0	827-0+14+16+1+23+25+100|302-0+22+24+1+31+33+100|551-0+16+18+1+25+27+100
恶	1	9	453	827-0|228-0|551-0	827-0+14+16+1+23+25+100|228-0+15+17+1+24+26+100|551-0+16+18+1+25+27+100
恶	1	10	454	827-0|228-0|559-0	827-0+14+16+1+23+25+100|228-0+15+17+1+24+26+100|559-0+20+22+1+29+31+100
恶	3	1	455	552-0|229-0|319-0	552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80
恶	3	2	456	510-0|552-0|229-0	510-0+24+26+1+33+35+20|509-0+21+23+1+30+32+80|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80
恶	3	3	457	510-0|552-0|319-0	510-0+24+26+1+33+35+20|509-0+21+23+1+30+32+80|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80
恶	3	4	458	510-0|319-0|229-0	510-0+24+26+1+33+35+20|509-0+21+23+1+30+32+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80
恶	3	5	459	828-0|552-0|229-0	828-0+24+26+1+33+35+20|827-0+20+22+1+29+31+80|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80
恶	3	6	460	828-0|552-0|319-0	828-0+24+26+1+33+35+20|827-0+20+22+1+29+31+80|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80
恶	3	7	461	828-0|319-0|229-0	828-0+24+26+1+33+35+20|827-0+20+22+1+29+31+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80
恶	4	1	462	197-0|560-0|675-0	197-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80
恶	4	2	463	248-0|687-0|553-0	248-0+55+57+1+64+66+20|247-0+39+41+1+48+50+80|687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
恶	4	3	464	359-0|560-0|553-0	359-0+38+40+1+47+49+100|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
恶	4	4	465	359-0|675-0|687-0	359-0+38+40+1+47+49+100|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80|687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80
恶	4	5	466	658-0|560-0|675-0	658-0+41+43+1+50+52+20|657-0+36+38+1+45+47+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80
恶	4	6	467	973-0|197-0|359-0	973-0+39+41+1+48+50+20|972-0+36+38+1+45+47+80|197-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80|359-0+38+40+1+47+49+100
恶	4	7	468	973-0|675-0|553-0	973-0+39+41+1+48+50+20|972-0+36+38+1+45+47+80|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
恶	4	8	469	973-0|359-0|675-0	973-0+39+41+1+48+50+20|972-0+36+38+1+45+47+80|359-0+38+40+1+47+49+100|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80
恶	4	9	470	053-1|359-0|560-0	053-1+39+41+1+48+50+20|052-1+36+38+1+45+47+80|359-0+38+40+1+47+49+100|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80
恶	4	10	471	053-1|687-0|560-0	053-1+39+41+1+48+50+20|052-1+36+38+1+45+47+80|687-0+39+41+1+48+50+20|686-0+36+38+1+45+47+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80
妖精	2	1	472	707-0|703-0|669-0	707-0+25+27+1+34+36+100|703-0+21+23+1+30+32+100|669-0+16+18+1+25+27+100|669-1+16+18+1+25+27+100
妖精	2	2	473	684-0|703-0|669-0	684-0+17+19+1+26+28+100|703-0+21+23+1+30+32+100|669-0+16+18+1+25+27+100|669-2+16+18+1+25+27+100
妖精	2	3	474	682-0|035-0|669-0	682-0+18+20+1+27+29+100|035-0+22+24+1+31+33+20|173-0+17+19+1+26+28+80|669-2+16+18+1+25+27+100|669-3+16+18+1+25+27+100
妖精	2	4	475	970-0|173-0|669-0	970-0+18+20+1+27+29+100|173-0+17+19+1+26+28+100|669-1+16+18+1+25+27+100|669-4+16+18+1+25+27+100
妖精	2	5	476	970-0|035-0|707-0	970-0+18+20+1+27+29+100|035-0+22+24+1+31+33+20|173-0+17+19+1+26+28+80|707-0+25+27+1+34+36+100
妖精	2	6	477	970-0|682-0|703-0	970-0+18+20+1+27+29+100|682-0+18+20+1+27+29+100|703-0+21+23+1+30+32+100
妖精	2	7	478	970-0|684-0|703-0	970-0+18+20+1+27+29+100|684-0+17+19+1+26+28+100|703-0+21+23+1+30+32+100
妖精	2	8	479	439-0|035-0|669-0	439-0+20+22+1+29+31+100|035-0+22+24+1+31+33+20|173-0+17+19+1+26+28+80|669-3+16+18+1+25+27+100|669-4+16+18+1+25+27+100
妖精	2	9	480	439-0|682-0|684-0	439-0+20+22+1+29+31+100|682-0+18+20+1+27+29+100|684-0+17+19+1+26+28+100
妖精	2	10	481	174-0|682-0|684-0	174-0+17+19+1+26+28+100|682-0+18+20+1+27+29+100|684-0+17+19+1+26+28+100
妖精	3	1	482	303-0|683-0|670-0	303-0+26+28+1+35+37+100|683-0+26+28+1+35+37+20|682-0+22+24+1+31+33+80|670-3+24+26+1+33+35+30|670-4+24+26+1+33+35+30|669-3+20+22+1+29+31+60|669-4+20+22+1+29+31+60
妖精	3	2	483	702-0|683-0|670-0	702-0+28+30+1+37+39+100|683-0+26+28+1+35+37+20|682-0+22+24+1+31+33+80|670-0+24+26+1+33+35+30|670-1+24+26+1+33+35+30|670-2+24+26+1+33+35+30|669-0+20+22+1+29+31+60|669-1+20+22+1+29+31+60|669-2+20+22+1+29+31+60
妖精	3	3	484	702-0|683-0|671-0	702-0+28+30+1+37+39+100|683-0+26+28+1+35+37+20|682-0+22+24+1+31+33+80|671-3+28+30+1+37+39+30|671-4+28+30+1+37+39+30|670-3+24+26+1+33+35+60|670-4+24+26+1+33+35+60
妖精	3	4	485	303-0|683-0|671-0	303-0+26+28+1+35+37+100|683-0+26+28+1+35+37+20|682-0+22+24+1+31+33+80|671-0+28+30+1+37+39+30|671-1+28+30+1+37+39+30|671-2+28+30+1+37+39+30|670-0+24+26+1+33+35+60|670-1+24+26+1+33+35+60|670-2+24+26+1+33+35+60
妖精	3	5	486	039-0|303-0|671-0	039-0+24+26+1+33+35+20|174-0+21+23+1+30+32+80|303-0+26+28+1+35+37+100|671-0+28+30+1+37+39+30|671-3+28+30+1+37+39+30|670-0+24+26+1+33+35+60|670-3+24+26+1+33+35+60
妖精	3	6	487	039-0|683-0|371-0	039-0+24+26+1+33+35+20|174-0+21+23+1+30+32+80|683-0+26+28+1+35+37+20|682-0+22+24+1+31+33+80|671-0+28+30+1+37+39+30|671-4+28+30+1+37+39+30|670-0+24+26+1+33+35+60|670-4+24+26+1+33+35+60
妖精	3	7	488	039-0|702-0|371-0	039-0+24+26+1+33+35+20|174-0+21+23+1+30+32+80|702-0+28+30+1+37+39+100|671-1+28+30+1+37+39+30|671-3+28+30+1+37+39+30|670-1+24+26+1+33+35+60|670-3+24+26+1+33+35+60
妖精	3	8	489	971-0|303-0|371-0	971-0+27+29+1+36+38+20|970-0+22+24+1+31+33+80|303-0+26+28+1+35+37+100|671-2+28+30+1+37+39+30|671-4+28+30+1+37+39+30|670-2+24+26+1+33+35+60|670-4+24+26+1+33+35+60
妖精	3	9	490	971-0|702-0|371-0	971-0+27+29+1+36+38+20|970-0+22+24+1+31+33+80|702-0+28+30+1+37+39+100|671-1+28+30+1+37+39+30|671-2+28+30+1+37+39+30|670-1+24+26+1+33+35+60|670-2+24+26+1+33+35+60
妖精	3	10	491	971-0|670-0|671-0	971-0+27+29+1+36+38+20|970-0+22+24+1+31+33+80|670-0+24+26+1+33+35+60|670-1+24+26+1+33+35+60|670-2+24+26+1+33+35+60|670-3+24+26+1+33+35+60|670-4+24+26+1+33+35+60|669-0+20+22+1+29+31+60|669-1+20+22+1+29+31+60|669-2+20+22+1+29+31+60|669-3+20+22+1+29+31+60|669-4+20+22+1+29+31+60|671-0+28+30+1+37+39+30|671-1+28+30+1+37+39+30|671-2+28+30+1+37+39+30|671-3+28+30+1+37+39+30|671-4+28+30+1+37+39+30|670-0+24+26+1+33+35+60|670-1+24+26+1+33+35+60|670-2+24+26+1+33+35+60|670-3+24+26+1+33+35+60|670-4+24+26+1+33+35+60
妖精	4	1	492	036-0|685-0|700-0	036-0+40+42+1+49+51+20|035-0+37+39+1+46+48+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80|700-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
妖精	4	2	493	036-0|685-0|282-0	036-0+40+42+1+49+51+20|035-0+37+39+1+46+48+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
妖精	4	3	494	036-0|685-0|671-0	036-0+40+42+1+49+51+20|035-0+37+39+1+46+48+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80|671-3+39+41+1+48+50+30|671-4+39+41+1+48+50+30|670-3+37+39+1+46+48+60|670-4+37+39+1+46+48+60
妖精	4	4	495	282-0|685-0|671-0	282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80|671-0+39+41+1+48+50+30|671-1+39+41+1+48+50+30|671-2+39+41+1+48+50+30|670-0+37+39+1+46+48+60|670-1+37+39+1+46+48+60|670-2+37+39+1+46+48+60
妖精	4	5	496	040-0|036-0|685-0	040-0+39+41+1+48+50+20|039-0+37+39+1+46+48+80|036-0+40+42+1+49+51+20|035-0+37+39+1+46+48+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80
妖精	4	6	497	040-0|036-0|282-0	040-0+39+41+1+48+50+20|039-0+37+39+1+46+48+80|036-0+40+42+1+49+51+20|035-0+37+39+1+46+48+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
妖精	4	7	498	040-0|282-0|700-0	040-0+39+41+1+48+50+20|039-0+37+39+1+46+48+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80|700-0+37+39+1+46+48+20|133-0+35+37+1+44+46+80
妖精	4	8	499	1002-0|036-0|685-0	1002-0+41+43+1+50+52+20|1001-0+38+40+1+47+49+80|036-0+40+42+1+49+51+20|035-0+37+39+1+46+48+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80
妖精	4	9	500	1002-0|685-0|282-0	1002-0+41+43+1+50+52+20|1001-0+38+40+1+47+49+80|685-0+38+40+1+47+49+20|684-0+35+37+1+44+46+80|282-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
传说	5	1	501	380-0	380-0+60+60++++100|282-0+53+55+1+62+64+20|281-0+52+54+1+61+63+80|282-0+53+55+1+62+64+20|281-0+52+54+1+61+63+80|334-0+54+56+1+63+65+20|333-0+52+54+1+61+63+80|334-0+54+56+1+63+65+20|333-0+52+54+1+61+63+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80|701-0+53+55+1+62+64+20|701-0+53+55+1+62+64+20|715-0+56+58+1+65+67+20|714-0+53+55+1+62+64+80|715-0+56+58+1+65+67+20|714-0+53+55+1+62+64+80|715-0+56+58+1+65+67+20|714-0+53+55+1+62+64+80
传说	5	2	502	381-0	381-0+60+60++++100|282-0+53+55+1+62+64+20|281-0+52+54+1+61+63+80|282-0+53+55+1+62+64+20|281-0+52+54+1+61+63+80|334-0+54+56+1+63+65+20|333-0+52+54+1+61+63+80|334-0+54+56+1+63+65+20|333-0+52+54+1+61+63+80|334-0+54+56+1+63+65+20|333-0+52+54+1+61+63+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80|701-0+53+55+1+62+64+20|701-0+53+55+1+62+64+20|701-0+53+55+1+62+64+20|715-0+56+58+1+65+67+20|714-0+53+55+1+62+64+80|715-0+56+58+1+65+67+20|714-0+53+55+1+62+64+80
传说	5	3	503	638-0	638-0+60+60++++100|068-0+55+57+1+64+66+20|067-0+53+55+1+62+64+80|068-0+55+57+1+64+66+20|067-0+53+55+1+62+64+80|208-0+53+55+1+62+64+20|095-0+52+54+1+61+63+80|208-0+53+55+1+62+64+20|095-0+52+54+1+61+63+80|214-0+53+55+1+62+64+20|214-0+53+55+1+62+64+20|306-0+55+57+1+64+66+20|305-0+54+56+1+63+65+80|306-0+55+57+1+64+66+20|305-0+54+56+1+63+65+80|448-0+54+56+1+63+65+20|447-0+50+52+1+59+61+80|448-0+54+56+1+63+65+20|447-0+50+52+1+59+61+80|863-0+53+55+1+62+64+20|052-2+52+54+1+61+63+80|863-0+53+55+1+62+64+20|052-2+52+54+1+61+63+80
传说	5	4	504	639-0	639-0+60+60++++100|068-0+55+57+1+64+66+20|067-0+53+55+1+62+64+80|068-0+55+57+1+64+66+20|067-0+53+55+1+62+64+80|247-0+53+55+1+62+64+20|246-0+51+53+1+60+62+80|247-0+53+55+1+62+64+20|246-0+51+53+1+60+62+80|560-0+55+57+1+64+66+20|559-0+52+54+1+61+63+80|560-0+55+57+1+64+66+20|559-0+52+54+1+61+63+80|675-0+54+56+1+63+65+20|674-0+51+53+1+60+62+80|675-0+54+56+1+63+65+20|674-0+51+53+1+60+62+80|689-0+55+57+1+64+66+20|688-0+52+54+1+61+63+80|689-0+55+57+1+64+66+20|688-0+52+54+1+61+63+80|965-0+55+57+1+64+66+20|964-0+52+54+1+61+63+80|965-0+55+57+1+64+66+20|964-0+52+54+1+61+63+80
传说	5	5	505	640-0	640-0+60+60++++100|071-0+53+55+1+62+64+20|070-0+52+54+1+61+63+80|071-0+53+55+1+62+64+20|070-0+52+54+1+61+63+80|407-0+53+55+1+62+64+20|315-0+51+53+1+60+62+80|407-0+53+55+1+62+64+20|315-0+51+53+1+60+62+80|512-0+52+54+1+61+63+20|511-0+51+53+1+60+62+80|512-0+52+54+1+61+63+20|511-0+51+53+1+60+62+80|701-0+53+55+1+62+64+20|701-0+53+55+1+62+64+20|538-0+52+54+1+61+63+20|538-0+52+54+1+61+63+20|538-0+52+54+1+61+63+20|539-0+52+54+1+61+63+20|539-0+52+54+1+61+63+20|539-0+52+54+1+61+63+20
传说	5	6	506	647-0	647-0+60+60++++100|068-0+55+57+1+64+66+20|067-0+53+55+1+62+64+80|068-0+55+57+1+64+66+20|067-0+53+55+1+62+64+80|130-0+52+54+1+61+63+20|129-0+50+52+1+59+61+80|130-0+52+54+1+61+63+20|129-0+50+52+1+59+61+80|516-0+52+54+1+61+63+20|515-0+51+53+1+60+62+80|516-0+52+54+1+61+63+20|515-0+51+53+1+60+62+80|675-0+54+56+1+63+65+20|674-0+51+53+1+60+62+80|675-0+54+56+1+63+65+20|674-0+51+53+1+60+62+80|689-0+55+57+1+64+66+20|688-0+52+54+1+61+63+80|689-0+55+57+1+64+66+20|688-0+52+54+1+61+63+80|689-0+55+57+1+64+66+20|688-0+52+54+1+61+63+80|853-0+54+56+1+63+65+20|852-0+52+54+1+61+63+80|853-0+54+56+1+63+65+20|852-0+52+54+1+61+63+80|853-0+54+56+1+63+65+20|852-0+52+54+1+61+63+80
传说	5	7	507	648-0	648-0+60+60++++100|036-0+53+55+1+62+64+20|035-0+52+54+1+61+63+80|036-0+53+55+1+62+64+20|035-0+52+54+1+61+63+80|282-0+53+55+1+62+64+20|281-0+52+54+1+61+63+80|282-0+53+55+1+62+64+20|281-0+52+54+1+61+63+80|678-0+53+55+1+62+64+20|677-0+51+53+1+60+62+80|678-0+53+55+1+62+64+20|677-0+51+53+1+60+62+80|685-0+52+54+1+61+63+20|684-0+51+53+1+60+62+80|685-0+52+54+1+61+63+20|684-0+51+53+1+60+62+80|040-0+53+55+1+62+64+20|039-0+52+54+1+61+63+80|040-0+53+55+1+62+64+20|039-0+52+54+1+61+63+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80|518-0+52+54+1+61+63+20|517-0+51+53+1+60+62+80
